CSDUID,DAUID
1008031,10080171
1008031,10080172
1008026,10080173
1008035,10080174
1008035,10080175
1008035,10080176
1008035,10080177
1008035,10080178
1008029,10080179
1008031,10080180
1008031,10080181
1008032,10080182
1008033,10080183
1008033,10080184
1008036,10080185
1008039,10080186
1008037,10080187
1008044,10080188
1008044,10080189
1008044,10080190
1008044,10080191
1008044,10080192
1008044,10080193
1008044,10080194
1008042,10080195
1008042,10080196
1008043,10080197
1008045,10080198
1008046,10080199
1008048,10080200
1008047,10080201
1008049,10080202
1008052,10080203
1008053,10080204
1008056,10080205
1008055,10080206
1008054,10080207
1008054,10080208
1008058,10080209
1008063,10080210
1008066,10080211
1008064,10080212
1008059,10080213
1008061,10080214
1008061,10080215
1008061,10080216
1008061,10080217
1008065,10080218
1008069,10080219
1008072,10080220
1008067,10080221
1008070,10080222
1008073,10080223
1008071,10080224
1008074,10080225
1008091,10080226
1008093,10080227
1008095,10080228
1008077,10080229
1008096,10080230
1008078,10080231
1008079,10080232
1008079,10080233
1008079,10080234
1008092,10080235
1008075,10080236
1008076,10080237
1008076,10080238
1008062,10080239
1008098,10080240
1008060,10080241
1008060,10080242
1008040,10080243
1008038,10080244
1008008,10080245
1008008,10080246
1008008,10080247
1008008,10080248
1008011,10080249
1008011,10080250
1008008,10080251
1008006,10080252
1008006,10080253
1008006,10080254
1008001,10080255
1008004,10080256
1009031,10090078
1009035,10090079
1009034,10090080
1009031,10090081
1009039,10090082
1009029,10090083
1009029,10090084
1009029,10090085
1009029,10090086
1009032,10090087
1009032,10090088
1009021,10090089
1009021,10090090
1009024,10090091
1009021,10090092
1009023,10090093
1009021,10090094
1009021,10090095
1009026,10090096
1009021,10090097
1009047,10090098
1009048,10090099
1009018,10090100
1009019,10090101
1009019,10090102
1009022,10090103
1009022,10090104
1009001,10090105
1009008,10090106
1009028,10090107
1009007,10090108
1009007,10090109
1009007,10090110
1009004,10090111
1009041,10090112
1009016,10090113
1009017,10090114
1009042,10090115
1009015,10090116
1009020,10090117
1009009,10090118
1009010,10090119
1009012,10090120
1009037,10090121
1009013,10090122
1009013,10090123
1009011,10090124
