DAUID,PRUID,Total_Minutes,Total_Kilometres
35400158,ON,4.92300129,5.13163018
35400159,ON,3.3577221,3.26842715
35400160,ON,4.46994072,4.61357762
35400161,ON,8.15849249,8.16490858
35400162,ON,12.80557089,14.6741424
35400163,ON,15.76979857,19.0714711
35400164,ON,13.44032,17.31768756
35400165,ON,13.8925077,17.19517115
35400166,ON,16.42289027,20.9489565
35400167,ON,18.06342157,23.49673826
35400168,ON,14.70136712,19.54359389
35400169,ON,16.70969601,21.52498034
35400170,ON,15.93598001,20.43625392
35400171,ON,10.52310994,12.64176185
35400172,ON,14.7777587,18.46262214
35400173,ON,10.68552658,12.67038067
35410224,ON,1.25704345,0.7352461
35390760,ON,21.01673353,26.79748226
35400201,ON,15.10438331,19.83043813
35410225,ON,1.80782637,1.18786519
35390761,ON,19.33655897,24.55502687
35400202,ON,8.86302184,10.72912266
35410226,ON,1.75328247,1.11459273
35390762,ON,14.92016041,18.65513268
35400203,ON,25.8777658,31.15795727
35410227,ON,0.79746424,0.21429225
35390763,ON,15.07765501,17.0938736
35400204,ON,20.78637231,25.36359502
35410228,ON,1.58785226,1.05496722
35390764,ON,8.6027404,7.96799064
35400205,ON,16.61460714,19.36417257
35410229,ON,4.21654081,4.48158558
35390765,ON,7.21542345,5.58433045
35400206,ON,22.08704756,26.31867766
35410230,ON,12.70030917,15.70775179
35390766,ON,4.21674875,2.69266249
35400207,ON,20.11131646,26.53950409
35410231,ON,17.23220471,21.68534399
35390767,ON,4.79616647,2.72270918
35400208,ON,20.46874364,25.84174821
35410232,ON,15.98770317,19.7439963
35390768,ON,4.90866079,2.97616617
35400209,ON,21.89070364,25.93751283
35410233,ON,20.61658307,26.34831533
35390769,ON,4.86220028,2.79367378
35400210,ON,7.7579661,9.33858529
35410234,ON,21.30038996,25.73270618
35420233,ON,12.53196355,13.14167061
35390770,ON,4.52037357,2.77651662
35400211,ON,11.19824821,13.98752329
35410235,ON,20.74956356,24.96325824
35420234,ON,10.07942793,11.21497262
35390771,ON,6.16846173,3.31702326
35400212,ON,8.06468646,10.42887789
35410236,ON,18.66752237,24.05635233
35420235,ON,15.99635918,15.69703385
35390772,ON,3.90979787,2.21667578
35400213,ON,8.67976844,10.32026224
35410237,ON,23.24470672,30.15916031
35420236,ON,19.27302593,19.68661158
35390773,ON,3.21022623,2.00094904
35400214,ON,12.41710343,13.12238231
35410238,ON,20.89693915,24.1115146
35420237,ON,12.9224095,14.59016643
35390774,ON,2.57720972,1.5354235
35400215,ON,18.10529723,22.8652774
35410239,ON,18.79374212,20.74802847
35420238,ON,8.94352076,8.08682161
35420239,ON,9.65155506,11.22574369
35420240,ON,6.86887137,6.79477219
35420241,ON,3.10294183,1.9602327
35420242,ON,1.63598895,1.08380857
35420243,ON,3.74278866,2.13020668
35420244,ON,5.32198511,4.8751081
35420245,ON,1.15516164,0.5741295
35420246,ON,0.6954129,0.25643052
35420247,ON,2.29686209,1.43338302
35420248,ON,4.0706337,1.49712663
35420249,ON,1.91901303,0.95359842
35420250,ON,7.01568499,8.16466872
35420251,ON,9.54492648,10.45925504
35420252,ON,27.35419662,16.75678129
35420253,ON,15.6865359,18.71091611
35420254,ON,11.08549344,13.22348964
35420255,ON,6.05673763,6.28538272
35420256,ON,10.30563887,6.47888678
35420257,ON,2.96263927,1.89446235
35420258,ON,4.51493486,2.69417364
35420259,ON,4.25795152,2.54201672
35420260,ON,5.30620291,2.94535803
35420261,ON,4.41093729,2.71516986
35420262,ON,5.61256696,3.54418318
35420263,ON,4.57066914,2.85472781
35420264,ON,4.6389314,3.01283115
35420265,ON,6.90401565,7.65003789
35420266,ON,12.58167504,15.16437615
35420267,ON,19.52519788,23.32490454
35420268,ON,10.0138657,11.73462614
35420269,ON,21.03617054,24.97474329
35420270,ON,13.9804228,17.05820015
35420271,ON,20.94716493,24.85615053
35420272,ON,22.02571296,27.7839002
35420273,ON,28.36057384,35.33005942
35420274,ON,27.39714719,30.98783463
35420275,ON,24.95771428,28.49383578
35420276,ON,25.82325867,29.48883621
35420277,ON,23.83135339,29.29129034
35420278,ON,16.71103601,19.18454237
35420279,ON,21.27605614,26.10457801
35420280,ON,11.54171605,13.12573547
35420281,ON,7.53139711,6.72857209
35420282,ON,10.52575358,12.20957888
35420283,ON,10.73753416,11.57247553
35420284,ON,16.36144067,19.05512742
35420285,ON,7.53482799,7.35258951
35420286,ON,5.85528016,2.931419
35420287,ON,3.68162774,2.20706732
35420288,ON,2.81120278,1.78462588
35420289,ON,1.09662297,0.72355699
35420290,ON,3.9378612,4.74912315
35420291,ON,8.35061296,9.83178503
35420292,ON,5.90332902,6.56873897
35420293,ON,11.08981371,13.31426328
35420294,ON,5.68864158,6.19722203
35420295,ON,14.574633,17.75595352
35420296,ON,19.7233146,24.64661037
35420297,ON,13.69957798,17.76407445
35420298,ON,12.44496012,14.87717079
35420299,ON,9.64292809,9.93919567
35420300,ON,7.38979569,5.27551724
35420301,ON,5.70775078,3.19467322
35420302,ON,3.89129355,2.03496899
35420303,ON,3.64165209,1.87065313
35420304,ON,2.72068484,1.42817287
35420305,ON,1.67031762,0.86986644
35390775,ON,2.58177968,1.2709284
35400216,ON,19.2900689,23.75573893
35390776,ON,0.26371018,0.1580177
35390777,ON,1.31509418,0.39426258
