"","DAUID","PRUID","y","x","Population"
"358",10010704,10,47.8679602262745,-53.3740517274097,330
"359",10010705,10,47.9070150970083,-53.3453635749636,200
"360",10010706,10,48.0284933606804,-53.1663645276777,539
"361",10010707,10,47.9535803896157,-53.3212183384941,436
"362",10010708,10,48.0045993194641,-53.2729660493558,318
"363",10010709,10,47.698358124624,-53.789704532268,387
"364",10010710,10,47.8703565219522,-53.9136521723745,407
"365",10010711,10,47.8320847409023,-53.98720930476,208
"366",10010712,10,47.7673342083438,-53.9817180272164,715
"367",10010713,10,47.7613825561986,-53.9833357349427,249
"368",10010714,10,47.6106054676636,-53.8460456420884,266
"369",10010715,10,47.6666091239912,-53.8311770496912,213
"370",10010716,10,47.7225032208938,-53.953456796291,313
"371",10010717,10,47.5613409878746,-53.6882458838564,647
"372",10010718,10,47.5040713428795,-53.6637675817752,446
"373",10010719,10,47.4989144954859,-53.5763978313468,723
"374",10010720,10,47.4290439243513,-53.5480156764576,369
"375",10010721,10,47.4220320675988,-53.5216393435669,586
"376",10010722,10,47.2898479169779,-53.5616201712132,541
"377",10010723,10,47.2182740423916,-53.5509404465571,103
"378",10010724,10,47.1934668977637,-53.396316962176,469
"379",10010725,10,47.0166465151481,-53.5998506890452,97
"380",10010726,10,47.1686741999349,-53.4606383433016,382
"381",10010727,10,47.0921539035395,-53.5195767853465,86
"382",10010728,10,46.9870106064315,-53.4990553698543,165
"383",10010729,10,46.9131418742165,-53.5613784320721,313
"384",10010730,10,46.8757306084669,-53.6046645617068,189
"385",10010731,10,46.7867325663617,-53.6136477812196,263
"386",10010732,10,46.7328631880668,-53.2994382659796,55
"387",10010733,10,46.6334439878197,-53.5839979654511,55
"388",10010734,10,46.7098652336838,-53.2554157812874,86
"389",10010735,10,46.7235002880479,-53.3791094902228,254
"390",10010736,10,46.7549461214373,-53.3659426872737,151
"391",10010737,10,47.0725736078406,-52.8925909665758,299
"392",10010738,10,46.9723670049566,-52.9513970405175,266
"393",10010739,10,46.9783048890335,-52.9155710856863,49
"394",10010740,10,46.9136572965431,-52.9463210178919,280
"395",10010741,10,47.201678327186,-52.8951761380184,720
"396",10010742,10,47.0968247298954,-52.9419483090705,499
"397",10010743,10,47.1949413713276,-52.8558052481844,354
"398",10010744,10,47.0278139851188,-52.89733475155,371
"399",10010745,10,47.0104517578854,-52.9478362276129,74
"400",10010746,10,46.9954646690253,-54.076050341637,106
"401",10010747,10,46.8858003033969,-53.9584667145215,177
"402",10010748,10,46.9254938898123,-54.1712589932245,318
"403",10010749,10,46.8262275246767,-54.0855461653244,87
"404",10010750,10,47.2733146741251,-53.9354169645624,356
"405",10010751,10,47.444451241543,-53.7968724999576,185
"406",10010752,10,47.3182751865625,-53.8887550445276,226
"407",10010753,10,47.2722836072259,-53.8748781078379,479
"408",10010754,10,47.2720303336264,-53.90084405383,160
"409",10010755,10,47.2687045989392,-53.9102060927199,198
"410",10010756,10,47.2527606186231,-53.9597672248236,353
"411",10010757,10,47.244154074824,-53.9595320827726,245
"412",10010758,10,47.2424689561768,-53.963739720527,442
"413",10010759,10,47.2539093545832,-53.9756935125654,221
"414",10010760,10,47.2709860425165,-53.9809409356462,526
"415",10010761,10,47.2209432930263,-53.9232176204211,665
"416",10010762,10,47.6325692222709,-53.2919713079407,736
"417",10010763,10,47.64294888,-53.26187673,0
"418",10010764,10,47.6217961413561,-53.2916281193124,513
"419",10010765,10,47.6173279253689,-53.2740971231256,434
"420",10010766,10,47.629244341189,-53.2628430676523,464
"421",10010767,10,47.6073675893314,-53.295198139165,483
"422",10010768,10,47.6537786469101,-52.8374478039222,824
"423",10010769,10,47.6119109035886,-52.8501962944086,1032
"424",10010770,10,47.6185407457908,-52.8408562305935,531
"425",10010771,10,47.6188041470185,-52.8159198419715,822
"426",10010772,10,47.646067489156,-52.8043438729226,780
"427",10010773,10,47.6174275992392,-52.7439434171027,431
"428",10010774,10,47.6131361075623,-52.7266523168131,274
"429",10010776,10,47.6344324987559,-52.7292434024531,793
"430",10010777,10,47.6398964245466,-52.7051445421448,791
"431",10010778,10,47.655007349317,-52.7174033814789,590
"432",10010779,10,47.6491101335695,-52.7393855828342,410
"433",10010780,10,47.6542027294384,-52.7349688104705,592
"434",10010781,10,47.6434702941533,-52.7569763310405,1618
"435",10010782,10,47.6573106725132,-52.7448820207122,496
"436",10010783,10,47.6616183643716,-52.7423024622231,432
"437",10010784,10,47.6679653926704,-52.7376511788674,392
"438",10010785,10,47.6648858331493,-52.7204595444598,1019
"439",10010786,10,47.675374797171,-52.7474710684152,550
"440",10010787,10,47.6559990023967,-52.7664876907381,960
"441",10010788,10,47.7057923826152,-52.8149794951871,412
"442",10010789,10,47.7275022844892,-52.7700930561164,740
"443",10010790,10,47.7645540582713,-52.7796393006212,1002
"444",10010791,10,47.7608050443188,-52.7658283313358,321
"445",10010792,10,47.709280130809,-52.717901286469,935
"446",10010793,10,47.7060865146397,-52.7419498220382,787
"447",10010794,10,47.6458887882837,-52.6791568965307,547
"448",10010795,10,47.6367734086122,-52.6861799757892,523
"449",10010796,10,47.620992503083,-52.6832048294684,503
"450",10010797,10,47.59157448,-52.82040739,0
"451",10010798,10,47.5933931061628,-52.8428404328053,543
"452",10010799,10,47.5955722466968,-52.8735253031772,555
"453",10010800,10,47.582863547393,-52.8710780201991,696
"454",10010801,10,47.5728763645969,-52.8805817976767,2044
"455",10010802,10,47.5802806530869,-52.8559532399513,588
"456",10010803,10,47.5668790914404,-52.890930626123,726
"457",10010804,10,47.559403570207,-52.9008168836848,1480
"458",10010805,10,47.5474325866596,-52.8838359069524,895
"459",10010806,10,47.5399657315396,-52.8713538945407,422
"460",10010807,10,47.6343705185162,-52.9391479514117,388
"461",10010808,10,47.6395610263354,-52.9482097877465,364
"462",10010809,10,47.6457591861154,-52.9327794037616,346
"463",10010810,10,47.648786927656,-52.9480938720233,334
"464",10010811,10,47.6380873884474,-52.9655389732101,383
"465",10010813,10,47.5708897064151,-52.7746681576912,1208
"466",10010814,10,47.5961826314832,-52.7429924414032,1019
"467",10010815,10,47.5921577368546,-52.7356648025504,665
"468",10010817,10,47.5270188287363,-52.8611863611538,1591
"469",10010818,10,47.534998237636,-52.8580056869536,815
"470",10010820,10,47.5358005390289,-52.8528605485151,479
"471",10010821,10,47.5262429663674,-52.7374761861264,363
"472",10010822,10,47.5140195432712,-52.7522981451226,310
"473",10010823,10,47.5123825869202,-52.7579438658059,370
"474",10010824,10,47.5058023720337,-52.7656245850781,1383
"475",10010827,10,47.4880557053903,-52.814006882105,1929
"476",10010828,10,47.5305717913534,-52.8493384700563,966
"477",10010830,10,47.5240365922805,-52.8919990491686,1383
"478",10010832,10,47.5372306379608,-52.8391694849608,508
"479",10010833,10,47.5408491833971,-52.9018895229387,3077
"480",10010834,10,47.5512580037681,-52.8020532389849,1761
"481",10010835,10,47.5523609586053,-52.7927017577193,833
"482",10010836,10,47.5465312497168,-52.7945339306874,1219
"483",10010837,10,47.6175054470148,-52.7085630015727,1307
"484",10010838,10,47.6208801911648,-52.7040208511824,940
"485",10010839,10,47.6023913947167,-52.7477560506694,1111
