ED_ID,Province,PRUID,ED_Name,x,y,lat,lng,Address,City,Postal_Code
553,Quebec,QC,CENTRE HOSPITALIER REGIONAL DE SEPT-ILES,-66.38316256,50.20937694,50.20937694,-66.38316256,45 RUE DU PÈRE DIVET ,SEPT-ÎLES,G4R3N7
554,Quebec,QC,CENTRE HOSPITALIER RÉGIONAL DE TROIS-RIVIÈRES - PAVILLON SAINTE-MARIE,-72.56103089,46.35505541,46.35505541,-72.56103089,1991 BOUL DU CARMEL,TROIS RIVIERES,G8Z3R9
555,Quebec,QC,CENTRE HOSPITALIER RICHARDSON,-73.64583289,45.47159049,45.47159049,-73.64583289,5425 AV BESSBOROUGH,MONTRÉAL,H4V2S7
556,Quebec,QC,CENTRE HOSPITALIER ROUYN-NORANDA,-79.02008424,48.24403812,48.24403812,-79.02008424,4 9 RUE,ROUYN NORANDA,J9X2B2
557,Quebec,QC,CENTRE HOSPITALIER SAINT-JOSEPH DE LA MALBAIE,-70.15218272,47.65582486,47.65582486,-70.15218272,303 RUE SAINT ÉTIENNE ,LA MALBAIE,G5A1T1
558,Quebec,QC,CENTRE HOSPITALIER NOTRE-DAME-DU-LAC,-69.03815923,48.202506,48.202506,-69.03815923,58 RUE DE L'ÉGLISE,NOTRE-DAME-DU-LAC,G0L4C0
559,Quebec,QC,CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - CHUL (CHU),-71.28359808,46.7695875,46.7695875,-71.28359808,2705 BOUL LAURIER,QUÉBEC,G1V4G2
560,Quebec,QC,CENTRE HOSPITALIER SAINT-EUSTACHE,-73.91241706,45.57192062,45.57192062,-73.91241706,520 BOUL ARTHUR SAUVÉ,SAINT-EUSTACHE,J7R5B1
561,Quebec,QC,CENTRE HOSPITALIER RÉGIONAL DU SUROÎT,-74.13021436,45.25099242,45.25099242,-74.13021436,150 RUE ST-THOMAS,SALABERRY DE VALLEYFIELD,J6T6C1
562,Quebec,QC,CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC (CHUQ) (SIÉGE SOCIAL) - L'HÔTEL-DIEU DE QUÉBEC,-71.21149553,46.81526246,46.81526246,-71.21149553,11 CÔTE DU PALAIS,QUEBEC,G1R2J6
