CSDUID,Average_Travel_Minutes
2439135,17.0
2439145,27.0
2439152,32.0
2439165,31.0
2439170,11.0
2440005,19.0
2440010,16.0
2440017,5.0
2440025,1.0
2440032,2.0
2440043,6.0
2440047,15.0
2441012,45.0
2441020,37.0
2441027,39.0
2441037,40.0
2441038,25.0
2441055,19.0
2441060,30.0
2441065,44.0
2441070,35.0
2441075,30.0
2441080,31.0
2441085,36.0
2441098,18.0
2441117,11.0
2442005,23.0
2442020,22.0
2442025,29.0
2442032,38.0
2442040,35.0
2442045,37.0
2442050,37.0
2442055,39.0
2442060,32.0
2442065,31.0
2442070,26.0
2442075,21.0
2442078,20.0
2442088,21.0
2442095,22.0
2442098,21.0
2442100,15.0
2442110,16.0
2443027,10.0
2444003,26.0
2444005,21.0
2444010,24.0
2444015,22.0
2444023,25.0
2444037,30.0
2444045,31.0
2444050,30.0
2444055,32.0
2444060,28.0
2444071,35.0
2444080,46.0
2445008,13.0
2445020,7.0
2445025,5.0
2445030,3.0
2445035,2.0
2445043,2.0
2445050,1.0
2445055,2.0
2445060,4.0
2445072,12.0
2445080,32.0
2445085,23.0
2445093,27.0
2445095,26.0
2445100,26.0
2445105,39.0
2445115,10.0
2446005,28.0
2446010,35.0
2446017,35.0
2446025,44.0
2446030,34.0
2446035,41.0
2446040,46.0
2446045,47.0
2446050,49.0
2446058,51.0
2446065,48.0
2446070,51.0
2446075,48.0
2446078,43.0
2446080,54.0
2446085,47.0
2446090,59.0
2446095,60.0
2446100,67.0
2446105,42.0
2446112,40.0
2447010,34.0
2447017,38.0
2447025,39.0
2447030,39.0
2447035,37.0
2447040,29.0
2447047,38.0
2447055,36.0
2448005,24.0
2448010,26.0
2448015,23.0
2448020,25.0
2448028,31.0
2448038,38.0
2448045,41.0
2448050,26.0
2449005,18.0
2449015,15.0
2449020,10.0
2449025,11.0
2449030,13.0
2449040,8.0
2449048,9.0
2449058,12.0
2449070,3.0
2449075,5.0
2449080,5.0
2449085,5.0
2449095,6.0
2449100,9.0
2449105,12.0
2449113,19.0
2449125,15.0
2449130,8.0
2450005,18.0
2450013,18.0
2450023,23.0
2450030,22.0
2450035,23.0
2450042,24.0
2450050,24.0
2450057,25.0
2450065,21.0
2450072,30.0
2450085,27.0
2450090,27.0
2450095,29.0
2450100,26.0
2450113,26.0
2450128,29.0
2450802,29.0
2451008,39.0
2451015,23.0
2451020,17.0
2451025,25.0
2451030,25.0
2451035,26.0
2451040,27.0
2451045,31.0
2451050,30.0
2451055,31.0
2451060,31.0
